id	field_years	location	title	year	authors	publisher
615	none	"Manicabao, Barrio Poyal, and San JosÌ©, Puerto Rico"	Growing up and its price in three Puerto Rican subcultures	1972	"Wolf, Kathleen L."	"Portrait of a society : readings on Puerto Rican sociology, edited by Eugenio FernÌÁndez-MÌ©ndez"
616	1955-1985	Middle America and the Caribbean	Sojourners of the Caribbean: ethnogenesis and ethnohistory of the Garifuna	1988	"GonzÌÁlez, Nancie L. Solien"	Urbana ; Chicago: University of Illinois Press
617	1973-1976	"'La Playa' [pseudonym], southern Belize"	Women and the ancestors: Black Carib kinship and ritual	1983	"Kerns, Virginia"	Urbana ; Chicago ; London: University of Illinois Press
618	1921	Honduras and Nicaragua	Ethnographical survey of the Miskito and Sumu Indians of Honduras and Nicaragua	1932	"Conzemius, Eduard"	Washington: U.S. Govt. print. off.
619	ca. 1945	"Coco River Basin, Nicaragua"	The health and customs of the Miskito Indians of northern Nicaragua	1946	"Pijoan, Michel"	Mexico: Instituto Indigenista Interamericano
620	1943-1948	Mexico	Life in a Mexican village: Tepoztlan restudied	1951	"Lewis, Oscar"	Urbana: University of Illinois Press
621	1929-1933	"Town of Mitla, Valley Zapotec, Oaxaca, Mexico"	"Mitla, town of the souls and other Zapoteco-speaking pueblos of Oaxaca, Mexico"	1936	"Parsons, Elsie Worthington Clews"	 Chicago: University of Chicago Press
622	1957-1973	"Valley of Oaxaca, Oaxaca, Mexico"	"The Zapotecs: princes, priests, and peasants"	1977	"Whitecotton, Joseph W."	Norman: University of Oklahoma Press
623	1971-1979	Iran	"Language, status and power in Iran"	1986	"Beeman, William O."	Bloomington: Indiana University Press
624	"1922-1927, 1943-1945"	Iran	Americans in Persia	1946	"Millspaugh, Arthur Chester"	"Washington, D.C.: The Brookings Institution"
625	August 1958-November 1959	Israel	Arab border villages in Israel: a study of community and change in a social organization	1972	"Cohen, Abner"	"Manchester ; New York, N. Y.: Manchester University Press ; Distributed in the U.S.A. by Humanities "
626	1980-1989	"Jabal Nablus region, West Bank"	"Women, property, and Islam: Palestinian experiences, 1920-1990"	1995	"Moors, Annelies"	New York: Cambridge University Press
627	1972-1975	"Syria, Saudi Arabia, Jordan and Iraq"	The Rwala Bedouin today	1981	"Lancaster, William"	"Cambridge, [Cambridgeshire] ; New York: Cambridge University Press"
628	1900-1928	Rwala Bedouins in Syria and Saudi Arabia	The manners and customs of the Rwala Bedouins	1928	"Musil, Alois"	New York: The American Geographical Society
629	1966-1968	"Bodrum District, Mu€Ùla Province, western Turkey"	Dispute and settlement in rural Turkey: an ethnography of law	1978	"Starr, June"	Leiden: E.J. Brill
630	1949-1952	"Kayseri Province, central Turkey"	Turkish village	1965	"Stirling, Arthur Paul"	London: Weidenfeld and Nicolson
631	"1953-1954, and 1962"	"Melville Island, Australia"	"Tiwi wives: a study of the women of Melville Island, North Australia"	2008	"Goodale, Jane C."	"@aNew Haven, Conn.|@bHRAF|@c2008|@dComputer file"
632	1936-1937	"Rumbina Hamlet, Sepik River District, Peilungua Mountains, Papua New Guinea"	Becoming a Kwoma: teaching and learning in a New Guinea tribe	1941	"Whiting, John Wesley"	New Haven: Published for the Institute of Human Relations by Yale University Press
633	1929-1930	"Lesu, New Ireland, Papua New Guinea"	Life in Lesu: the study of a Melanesian Society in New Ireland	1933	"Powdermaker, Hortense"	"New York: W. W. Norton & Company, Inc."
634	1947-1948	"Ulimang, Ngarard District, Babeldaob Island, Republic of Belau"	 Palauan society: a study of contemporary native life in the Palau Islands	1949	"Barnett, H. G."	"Eugene, Ore.: University of Oregon Publications"
635	1954-1956	"Koror City on Koror; Ngerechelong on Babeldaob, Republic of Belau"	 Leadership and cultural change in Palau	1960	"Force, Roland W."	 Chicago: Chicago Natural History Museum
636	1882	Belau	Crime and criminal actions in the Palau Islands	2009	"Kubary, J. S. "	"New Haven, Conn.: Human Relations Area Files"
637	1882	"Melekeok, Babeldaob Island; Koror, Republic of Belau"	Crime and criminal actions in the Palau Islands	1983	"Kubary, J. S. "	" New Haven, Conn.: Human Relations Area Files"
638	1972-1973	"Melekeok, Babeldaob Island; Koror, Republic of Belau"	Palauan social structure	1983	"Smith, DeVerne Reed"	New Brunswick: Rutgers University Press
639	1976-1978	"Ujelang Atoll, Marshall Islands"	Conceptions of maturing and dying in the 'middle of heaven'	1985	"Carucci, Laurence Marshall"	" Lanham, MD: University Press of America"
640	1976-1983	"Ujelang Atoll, Marshall Islands"	JEKERO: symbolizing the transition to manhood in the Marshall Islands	1987	"Carucci, Laurence Marshall"	"Micronesica -- Vol. 20, nos. 1-2 Agana: University of Guam"
641	1976-1983	"Ujellang and Enewatak Atolls, Marshall Islands"	Negotiations of violence in the Marshallese household	1990	"Carucci, Laurence Marshall"	"Pacific studies -- Vol. 13, no. 3 Laie, Hawaii: Brigham Young University, Hawaii Campus"
642	1947-1949	"Ulithi, Federated States of Micronesia"	Tales from Ulithi Atoll: a comparative study in oceanic folklore	1961	"Lessa, William Armand"	Berkeley: University of California Press
643	1947-1949	"Ulithi Atoll, Federated States of Micronesia"	The ethnography of Ulithi Atoll	1950	"Lessa, William Armand"	Los Angeles: University of California
644	"July, 1947 - February, 1948"	"Ifaluk, Woleai Region, Federated States of Micronesia"	An atoll culture: ethnography of Ifaluk in the central Carolines	1953	"Burrows, Edwin G."	New Haven: Human Relations Area Files
645	1947 and 1953	"Ifaluk, Federated States of Micronesia"	Flower in my ear: arts and ethos of Ifaluk Atoll	1963	"Burrows, Edwin G."	Seattle: University of Washington Press
646	1947-1948	"Ifaluk, Woleai Region, Federated States of Micronesia"	A Psychotic personality in the South Seas	1950	"Spiro, Melford E."	"Psychiatry -- Vol. 13, no. 2 Washington: William Alanson White Psychiatric Foundation"
647	1870-1920	New Zealand	The Maori: volume 1	1924	"Best, Elsdon"	"Wellington, N.Z.: Printed by H.H. Tombs, limited"
648	ca.1870-1920	New Zealand	The Maori: volume 2	1924	"Best, Elsdon"	"Wellington, N.Z.: Printed by H.H. Tombs, limited"
649	ca. 1910-1945	New Zealand	The coming of the Maori	1952	"Buck, Peter Henry"	Wellington: Maori Purposes Fund Board; [distributed by] Whitcombe and Tombs
650	"1953-1959, 1981-1983"	"New Zealand, Oceania"	New growth from old: the Wh€Ånau in the modern world	1995	"Metge, Joan"	"Wellington, N.Z.: Victoria University Press"
651	1920-1921	"Marquesas Islands, French Polynesia, South Pacific"	The native culture in the Marquesas	1923	"Handy, E.S. Craighill"	Honolulu: The Museum
652	1920-1921	"Marquesas Islands, French Polynesia, South Pacific"	Marquesan culture	1939	"Linton, Ralph"	"The individual and his society: the psychodynamics of primitive social organization, by Abram Kardin"
653	1956-1958	" Island of Nuku Hiva, Marquesas Islands, Frency Polynesia, South Pacific"	Marquesan sexual behavior	1963	"Suggs, Robert C."	"New Haven: [s.n.],"
654	1780-1934	Samoa	Modern Samoa: its government and changing life	1934	"Keesing, Felix M."	London: G. Allen & Unwin ltd.
655	1925-1926	Samoa	The role of the individual in Samaon culture	1928	"Mead, Margaret"	Journal of the Royal Anthropological institute of Great Britain &Ireland -- Vol. 58
656	1981-1984	Samoa	Samoan planters: tradition and economic development in Polynesia	1990	"O'Meara, J. Tim"	"Fort Worth: Holt, Rinehart and Winston"
657	1940-1953	Samoa	Western Samoa	1953	"Stanner, W. E. H."	The South Seas in transition; a study of post-war rehabilitation and reconstruction in three British
658	1840-ca. 1880	Samoa	"Samoa, a hundred years ago and long before: together with notes on the cults and customs of twenty-three other islands in the Pacific"	1884	"Turner, George"	London: Macmillan and co.
659	1952-1953	"TapajÌ_s River ares, State of Para, Brazil"	Women of the forest	1985	"Murphy, Robert Francis; Murphy, Yolanda"	New York: Columbia University Press
660	1973-1984	"Ibiato, Beni Province, Bolivia"	No longer nomads: the SirionÌ_ revisited	1987	"Stearman, Allyn Maclean"	"Lanham, MD: Hamilton Press"
661	1941-1942	"area of the Amazon River at the intersection of the borders of Brazil, Colombia and Peru"	"The Tucuna: habitat, history, and language"	1948	"Nimuendaju, Curt"	Washington: Smithsonian Institution
662	1941-1942	"area of the Amazon River at the intersection of the borders of Brazil, Colombia and Peru"	The Tukuna	1952	"Nimuendaju, Curt"	Berkeley: University of California Press
663	1450-1940	middle Chile	The Araucanians	1946	"Cooper, John M."	Washington: Smithsonian Institution
664	1952-1954	"Cautin Province, central Chile"	Hawks of the sun: Mapuche morality and its ritual attributes	1964	"Faron, Louis C."	Pittsburgh: University of Pittsburgh Press
665	1952-1954	"Frontera Region, central Chile"	Mapuche social structure: institutional reintegration in a patrilineal society of central Chile	1961	"Faron, Louis C."	Urbana: The University of Illinois Press
666	1946-1952	"Chile, Argentina"	Araucanian child life and its cultural background	1957	"Hilger, Mary Inez"	Washington: Smithsonian Institution
667	1888-1893	southern Chile	Ethnology of the Araucanos	1909	"Latcham, Richard E."	Journal of the Royal Institute of Great Britain and Ireland
668	1948	"Frontera Region, Chile"	Araucanian culture in transition	1951	"Titiev, Mischa"	Ann Arbor: University of Michigan Press
669	1940-1941	"Peguche, Canton of Otavalo, Imbabura Province, Ecuador"	"Peguche, canton of Otavalo, province of Imbabura: a study of Andean Indians"	1945	"Parsons, Elsie Worthington ClewChicago: University of Chicago Press"	
670	1957-1979	"central MaranhÌ£o, Brazil"	"The Canela (Eastern Timbira), I: an ethnographic introduction"	1990	"Crocker, William H."	Washington: Smithsonian Institution Press
671	1928-1936	"northeastern central steppes, MaranhÌ£o, Tocantins and eastern ParÌÁ, Brazil"	The Eastern Timbira	1046	"Nimuendaju, Curt"	Berkeley and Los Angeles: Universtiy of California Press
672	na	Brazil	The Tupinamba	1948	"Metraux, Alfred"	"Handbook of South American Indians--Vol. 3, edited by Julian H. Steward"
673	na	"Guajira Peninsula, Colombia, South America"	The Goajiro	1948	"Armstrong, John M.; Metraux, Alfred"	Handbook of South American Indians -- Vol. 4: the circum-Caribbean tribes
674	"1920, 1930s, 1955"	"Gajira Peninsula, Colombia and Venezuela, South America"	Indians on horseback	1957	"Bolinder, Gustaf"	London: Dennis Dobson
675	1947	" Colombia, South America"	Social organization in La Guajira	1948	"Gutierrez de Pineda, Virginia; Muirden, Sydney Jaime"	Bogota: [s.n.]
676	1947	"La Guajira Peninsula, Colombia, South America"	Aspects of magic in La Guajira	1947	"Muirden, Sydney Jaime; Pineda Giraldo, Roberto"	 Bogota: [s.n.]
677	na	"Venezuela, South America"	Guajiro personality and urbanization	1968	"Watson, Lawrence Craig"	"Los Angeles: Latin American Center, University of California"
678	ca 1880	Albania	Albanian Women	1891	"Garnett, Lucy Mary Jane"	X
679	1823-1834	X	X	1840	"Veniaminov, Ivan"	X
680	1800's??	X	X	1804	"Coxe, W."	X
681	1967-1968	Unalaska	Unalaska	1970	"Jones, Dorothy Miriam"	X
682	1938-1939	Alor	X	1944	"Du Bois, Cora Alice"	X
683	na	United States	X	1964	"Pettigrew, T. F. "	X
684	1962-1963	United States	Tally's Corner: a study of Negro streetcorner men Ch. 3 Fathers Without Children	1967	"Liebow, E."	"Little, Brown, & Co"
685	no date	United States	"Black Children: Their roots, culture, and learning style"	1982	"Hale, J. E."	University of Chicago
686	1896-1898	"Philadelphia, United States"	History of Negro Crime	1967	"Du Bois, W. E. B.; Eaton, Isabel"	X
687	na	United States	X Ch. Health and Healing	1980	"Hostetler, John Andrew"	X
688	no date	United States	Our People: The Amish and Mennonites of Ohio	1983	"Miller, Levi"	X
689	na	Philippines	X	1938	"Vanoverbergh, Morice"	X
690	na	Philippines	Apayao Life and Legends	1947	"Wilson, L. L."	Baguio
691	1519-1521	"Mexico, Guatemala"	Aztec Thought and Culture	1963	"Leon-Portilla, Miguel"	University of Oklahoma
692	1556-1566	"Mexico, Guatemala"	Life and Labor In Ancient Mexico: the brief and summary relation of the lords of New Spain	1963	"Zurita, A. D."	University of Oklahoma
693	1550-1580	"Mexico, Guatemala"	The Aztecs: the history of the Indies of New Spain	1964	"Duran, D. D."	New York Orion Press
694	1503-1541	"Mexico, Guatemala"	The HUmmingbird and the Hawk: conquest and sovereignty in the Valley of Mexico	1970	"Padden, R. C."	Ohio State University
695	na	"Mexico, Guatemala"	"The Daily Life of the Aztecs, on the eve of Spanish conquest"	1961	"Soustelle, Jacques"	"London, Weidenfeld and Nicolson"
696	1529-1590	"Mexico, Guatemala"	General History of the Things of New Spain	1954	"de Sahagun, Bernardino"	Santa Fe : The School of American Research and the University of Utah
697	1962-1977	"Nilgiri, Tamil Nadu"	X	1980	"Hockings, Paul"	X
698	1931-1934	"Bali, Indonesia"	A study of customs pertaining to twins in Bali	1935	"Belo, Jane"	"Tijdschrift voor Ind. Taal-, Land- en Volkenkunde"
699	1977-1978	Palau	X	1989	"McCutcheon, Mary Shaw"	X
700	1910-1911	"Montana, United States"	A New Series of Blackfoot Texts	1912	"Uhlenbeck, C. C."	Amsterdam : Johannes MÌ_ller
701	1962-1963	United States	Blood	1983	"Fisher, x"	X
702	1929-1930	Buka	Treatment of the Sick in the Solomon Islands	1935	"Blackwood, B."	Taylor and Francis
703	1885-1890	Burma	The Soul of a People	1898	"Fielding Hall, Harold"	"London, Macmillan, and Co"
704	"1969, 1970"	"Calcutta, India"	Calcutta	1972	"Moorhouse, Geoffrey"	"New York, Harcourt Brace Jovanovich"
705	na	Cambodia	X	1937	"Thompson, ?"	X
706	1924	Cambodia	X	1926	"Franck, ?"	X
707	na	Czechoslovakia	"Czechoslovakia, land of dream and enterprise"	1944	"Cech, Jan; Mellon, J. A."	"London, Czechoslovak Ministry of Foreign Affairs, Dept. of Information, distributed by L. Drummond L"
708	1949-1952	Czechoslovakia	Anatomy of a Satellite 	1952	"Schmidt, Dana Adams"	"Boston : Little, Brown and Co"
709	c. 1925	East Panjab	Hoshiarpur-The Una Tahsil	1930	"Darling, M."	Oxford University Press
710	1904-1909	"southern Gabon, Cameroon"	The Fang peoples : an ethnographic monograph on a West African negro group	1955	"Tessmann, Gunter"	"New Haven, Conn. : Human Relations Area Files"
711	1946-1954	"southern Gabon, Cameroon"	The Group Called Pahouin	1958	"Alexandre, Pierre; Binet, Jacques"	"Paris, Presses universitaires de France"
712	1951	1954	"Growing up in an Egyptian village : Silwa, province of Aswan"	1954	"Ammar, Hamid"	London : Routledge and Kegan Paul
713	1949-1950	Flores	Field notes on Indonesia Flores	1955	"Kennedy, Raymond"	"New Haven, Conn. : Human Relations Area Files"
714	na	London	"The picture of London for 1815 : being a correct guide to all the curiosities, amusements, exhibitions, public establishments, and remarkable objects, in and near London, with a collection of appropriate tables, two large maps, and various other engravings."	1815	"Feltham, John"	"London : Printed for Longman, Hurst, Rees, Orme, and Brown"
715	c. 1809	London	"Anecdotes of the manners and customs of London during the eighteenth century : including the charities, depravities, dresses, and amusements, of the citizens of London, during that period : with a review of the state of society in 1807, to which is added, a sketch of the domestic architecture, and of the various improvements in the metropolis"	1810	"Malcolm, James Peller"	"London : Printed for Longman, Hurst, Rees, and Orme, "
716	1953-1954	Island of Skye	Cultural continuity and population change on the Isle of Skye	1956	"Ducey, Paul Richard"	Thesis--Columbia University
717	na	South Africa (?)	The early Cape Hottentots	1933	"Dapper, Olfert"	Cape Town : Van Riebeeck Society
718	na	x	Ebolachi--have you survived the night?	1975	"Anyasodo, Umunnakwe"	"Detroit, : Anyasodo"
719	1902-1914	X	The Ila-speaking peoples of Northern Rhodesia	1920	"Dale, Andrew Murray; Smith, Edwin William"	"London, Macmillan and co., limited"
720	27-140	"Rome, Italy"	Roman craftsmen and tradesmen of the early empire	1917	"Brewster, Ethel Hampston"	"Menasha, Wisc. : George Banta Pub. Co."
721	na	"Rome, Italy"	Fashionable Life in Rome as Portrayed by Seneca	1939	"Rivenburg, Marjorie Josephine"	Philadelphia
722	na	India	Modern India and the West; a study of the interaction of their civilizations	1941	"O'Malley, L. S. S."	"London, New York [etc.] Oxford University Press"
723	1938-?	India	Kinship Organisation in India	1953	"Karve, Irawati Karmarker"	"New York, Asia Pub. House"
724	na	India	Popular Hinduism : the religion of the masses	1935	"O'Malley, L. S. S."	Cambridge [Cambridgshire] : University Press
725	na	India	The rites of the twice-born	1920	"Stevenson, Mrs. Sinclair"	"London ; Toronto : H. Milford, Oxford University Press"
726	na	Northern India	The popular religion and folk-lore of northern India	1896	"Crooke, William"	Westminster [London] : A. Constable & Co.
727	1893-1913	India	Modern religious movements in India	1967	"Farquhar, J. N."	"Delhi, Munshiram Manoharlal"
728	na	Northwest Provinces	The Cham€Års	1920	"Briggs, George Weston"	Calcutta : Association Press ; London ; New York : Oxford University Press
729	na	South India	The village gods of south India	1921	"Whitehead, Henry"	"London, New York, H. Milford, Oxford University Press"
730	ca 1950	India	The Hindu Woman	1953	"Cormack, Margaret Lawson"	"New York, Bureau of Publications, Teachers College, Columbia University,"
731	1792-1823	India	"Hindu manners, customs, and ceremonies"	1906	"Dubois, J. A."	"Oxford, Clarendon Press"
732	na	Borneo	Concise handbook of the ethnology of the Netherlands East Indies	1927	"Alkema, B.; Bezemer, Tammo J."	"[New Haven, Conn.] : Human Relations Area Files, 1961"
733	na	Iraq	Tale from the Arab Tribes	1949	"Campbell, C. G."	?
734	1959-1960	"Chicago, Illinois., United States"	?	1991	"Vecoli, Rudolph"	?
735	1972-1973	"Java, Indonesia"	Folk psychology of the Javanese of Ponorogo	1977	"Weiss, Jerome"	Thesis (Anthropology)--Yale University
736	1934-1935	United States	Jicarilla Apache Culture	1936	"Opler, Morris Edward"	Thesis (Anthropology)--Yale University
737	na	United States	"The Jicarilla Apaches of New Mexico, 1540-1967"	1967	"Crocchiola, S. F. L."	?
738	1937-1938	United States	Culture Element Distributions	1942	"Stewart, O. C. "	Berkeley: University of California Press
739	"1947-1949, 1952"	"Kerala, India"	Cults of the Dead Among the Nayars	1958	"Gough, E. Kathleen"	The Journal of American Folklore
740	ca 1900	"Kerala, India"	Nayars of Malabar	1915	"Fawcett, F."	New Delhi : Asian Educational Services
741	na	"Kerala, India"	Castes and tribes of southern India	1909	"Rangachari, K.; Thurston, Edgar"	"Madras, Government Press"
742	ca. 1940	Central India	The Kol tribe of central India	1946	"Griffiths, Walter G."	Calcutta : Royal Asiatic Society of Bengal
743	1967-1979	?	Village of curers and assassins : on the production of Fala Kpelle cosmological categories	1975	"Bellman, Beryl Larry"	The Hague : Mouton
744	1891-1892	Laos	"Around Tonkin and Siam : a French colonialist view of Tonkin, Laos, and Siam, 1892"	1894	"d'Orleans, Prince Henri"	Bangkok : White Lotus Co
745	1928-1939	South Africa	"The realm of a rain-queen, a study of the pattern of Lovedu society"	1943	"Krige, Eileen Jensen; Krige, Jacob Daniel"	"London, New York, Pub. for the International African Institute by the Oxford University Press"
746	1928-1939	?	African Worlds: studies in the cosmological ideas and social values of African peoples	1952	"Krige, Eileen Jensen; Krige, Jacob Daniel"	"London, New York, Oxford University Press"
747	ca. 1900	Uganda	The northern Bantu; an account of some central African tribes of the Uganda Protectorate	1915	"Roscoe, John"	"Cambridge, University Press"
748	1940-1949	Indonesia	"Kinship, status, and sex in South Celebes"	1950	"Chabot, Hendrik Theodorus"	"New Haven, Conn. : Human Relations Area Files"
749	1949-1950	Indonesia	?	1953	"Kennedy, Raymond"	?
750	1897-1922	Malaya	Malay poisons and charm cures	1929	"Gimlette, John D."	"Kuala Lumpur, New York, Oxford University Press"
751	1901-1902	Malaya	"Fasciculi Malayenses : anthropological and zoological results of an expedition to Perak and the Siamese Malay states, 1901-1902"	1903	"Annandale, Nelson"	"London ; New York : Published for the University Press of Liverpool by Longmans, Green"
752	na	Malaya	A dictionary of Malayan medicine	1939	"Gimlette, John D.; Thomson, H. W."	London : Oxford University Press
753	ca. 1914	Marshall Islands	"Die Marshall-Insulaner Leben und Sitte, Sinn und Religion eines SÌ_dsee-Volkes"	1914	"Erland, August"	"MÌ_nster i.W., Aschendorff"
754	ca. 1900	Marshall Islands	Die Marshall-Insulaner	1903	"Senfft, Arno"	Berlin : J. Springer
755	1958-1964	United States	Shamans: to set the record straight	1969	"Boyer, L. Bryce"	"American Anthropologist Volume 71, Issue 2"
756	1958-1965	United States	Effects of acculturation on the vicissitudes of the aggressive drive among the Apaches of the Mescalero Indian Reservation	1972	"Boyer, L. Bryce; Boyer, R. M. "	"New Haven, Conn. : Human Relations Area Files"
757	1951-1959	Mexico City	The Children of Sanchez	1961	"Lewis, Oscar"	"New Haven, Conn. : Human Relations Area Files"
758	na	Utah	Saints of sage & saddle; folklore among the Mormons	1956	"Fife, Austin E.; Fife, Alta Stephens"	"Bloomington, Indiana University Press"
759	na	Utah	Lore of Faith and Folly	1971	"Burt, Olive W."	?
760	1885-1969	Utah	The Miracle of Forgiveness	1978	"Kimball, Spencer W."	"Bloomington, Indiana University Press"
761	na	?	"Bloomington, Indiana University Press"	1933	"Delobsom, A. A. Dim"	"New Haven, Conn. : Human Relations Area Files"
762	na	"Dane County, Wisconsin"	?	1990	"Hayes, ?; Strouse, ?"	?
763	na	New York City	?	1975	"Gropper , R. C."	?
764	1968-1974	United States	"Gypsies, the hidden americans"	1975	"Sutherland, Anne"	New York : Free Press
765	1973-1976	Canada	The KalderaÅÁ in eastern Canada	1977	"Salo, Matt T.; Salo, Sheila M. G."	Ottawa : National Museums of Canada
766	1969-1972	"Arizona, United States"	?	1985	"Morgan, William"	?
767	ca. 1925	?	"The spirit-ridden Konde; a record of the interesting but steadily vanishing customs & ideas gathered during twenty-four years' residence amongst these shy inhabitants of the Lake Nyasa region, from witch-doctors, diviners, hunters, fishers & every native source"	1925	"Mackenzie, Duncan R."	"London, Seeley, Service & Co"
768	1935-1939	Zimbabwe	The Ngoni of Nyasaland	1956	"Read, Margaret"	"London, New York, Published for the International African Institute by the Oxford University Press"
769	1946-1949	?	Marriage in a changing society; a study in structural change among the Fort Jameson Ngoni	1951	"Barnes, J. A."	"Cape Town, New York, Published for the Rhodes-Livingstone Institute by Oxford University Press"
770	1964-1965	Papua new Guinea	The organisation of production and distribution among the Orokaiva; an analysis of work and exchange in two communities participating in both the subsistence and monetary sectors of the economy	1968	"Krinks, P. A.; Waddell, Eric"	"Canberra, Published by the New Guinea Research Unit, The Australian University"
771	1919-1920	Outer Mongolia	Contemporary Mongolia	1956	"Maiskii, I. M."	"New Haven, Human Relations Area Files"
772	na	Puerto Rico	The Puerto Rican migrants of New York City : a study of anomie	1985	"Alers-Montalvo, Manuel"	New York : AMS Press
773	na	United States	Memoirs of Bernardo Vega: a contribution to the history of the Puerto Rican community in New York	1984	"Vega, B."	?
774	1929-1932	southwestern United States	"Yuman tribes of the Gila River, by Leslie Spier"	1933	"Spier, Leslie"	"Chicago, Ill., University of Chicago Press"
775	ca. 1925	Burundi	?	1933		?
776	1919-1920	Burundi	?	1924	"Roscoe, John"	?
777	1893	Rural Ireland	"The Ethnology of Inishbofin and Inishshark, County Galway"	1894	"Browne, Charles R."	"Human relations area files., ER6,, Rural Irish"
778	1932-1934	southwestern United States	Southern Paiute Shamanism	1939	"Kelly, Isabel Truesdell"	"Berkeley, Calif., University of California Press"
779	1931-1936	southern Alaska	"Berkeley, Calif., University of California Press"	1975	"Hrdlicka, Ales"	New York : AMS Press
780	1924-1925	Malaya	New York : AMS Press	1973	"Schebesta, Paul"	Kuala Lumpur ; London : Oxford University Press
781	ca. 1940-1966	Rhodesia	The African witch with particular reference to witchcraft beliefs and practice among the Shona of Rhodesia	1967	"Gelfand, Michael"	"Edinburgh, Livingstone"
782	1969-1970	Zimbabwe	The Shona People: An Ethnography of the Contemp-orary Shona with Special Reference to their Religion	1976	"Bourdillon, MFC"	Gweru: Mambo Press
783	1967-1974	Nyamropa	The spiritual beliefs of the Shona: A study based on field work among the East-Central Shona	1977	"Gelfand, Michael"	Gwelo Rhodesia : Mambo Press
784	na	Zimbabwe	"Ukama, reflections on Shona and Western cultures in Zimbabwe"	1981	"Gelfand, Michael"	"Mambo Press (Gwelo, Zimbabwe)"
785	1965-1971	Karanga	Symbols of death : an analysis of the consciousness of the Karanga	1987	"Aschwanden, Herbert"	"Gweru, Zimbabwe : Mambo Press"
786	1926-1927	Libya	Notes on the people of Siwah and El Garah in the Libyan desert	1936	"Cline, W. B."	"Wisconsin, Banta, Menasha"
787	1955-1957	Somlia	Marriage and the family in northern Somaliland	1962	"Lewis, I. M. "	"Kampala, Uganda : East African Institute of Social Research"
788	x	Britain	The Reigns of Terror	1933	"Trevelyan, George Macaulay"	?
789	na	Britain	"The economic writings of Sir William Petty : together with the Observations upon the bills of mortality, more probably by Captain John Graunt"	1899	"Graunt, John"	Cambridge : At the University Press ; New York : Macmillan Co
790	1702-1714	Britain	Social life in the reign of Queen Anne : taken from original sources	1882	"Ashton, John"	London : Chatto & Windus
791	na	Britain	?	1963	"Ashley, ?; Peter, ?"	?
792	na	Britain	Pindar's Pythian odes: essays in interpretation	1962	"Burton, R. W. B."	Oxford University Press
793	ca. 1920	Ghana	The tribes of the Ashanti hinterland	1932	"Rattray, Robert Sutherland"	Clarendon Press
794	1973-1975	"Tamil Nadu, India"	?	1982	"Reynolds, H. B."	?
795	na	Southern India	South India : the Tamil people and their country	1899	"Gehring, Hans"	GÌ_tersloh : C. Bertelsman
796	1961	Vizavanoor village	Village Survey Monographs	1965	"Dhanasekaran, S."	Manager of Publications
797	1949-1950	Southern India	Hierarchy and marriage alliance in South Indian kinship	1957	"Dumont, L."	 Institute of Great Britain and Ireland
798	na	Southern India	Temples of Madras State	1965	"Murthy, N. Krishna; Nambiar, P. K.; Narayana Kurup, K. C."	Delhi : Manager of Publications
799	na	Thailand	Thailand : the new Siam	1941	"Thompson, Virginia"	New York : Macmillan
800	ca. 1904-1925	Tibet	"The land of the lama; a description of a country of contrasts & of its cheerful, happy-go-lucky people of hardy nature & curious customs; their religion, ways of living, trade & social life"	1929	"MacDonald, David"	"London, Seeley, Service & co., limited"
801	1916-1936	Nigeria	?	1939	"East, ?"	?
802	1949-1957	Tonga	Social organization of the Gwembe Tonga	1967	"Colson, Elizabeth"	"Manchester : Published on behalf of the Institute for Social Research, University of Zambia by Manch"
803	1929-1940	Algeria	Les Touaregs du Hoggar (Ahaggar)	1944	"Lhote, Henri"	Paris : Payot
804	ca. 1558-1603	Britain	?	1957	"Pearson, ?"	?
805	na	NW Kenya	Culture and Language of the Turkana NW Kenya	1983	"Best, G."	"Carl Winter, Universitlit- verlag. Heidelberg"
806	1978	Kenya	?	1988	"Brainard, ?"	?
807	ca. 1895	Ghana	Social life in Fanti-land	1897	"Connolly, R. M."	"Human relations area files., FE12,, Twi"
808	1867-1880	southwestern United States	"Anthropology of the Numa; John Wesley Powell's manuscripts on the Numic peoples of Western North America, 1868-1880."	1971	"Powell, John Wesley"	"Washington, Smithsonian Institution Press"
809	1936	Vietnam	Suicide in Annamese society	1937	"Hoe, Vu Cong"	"New Haven, Conn. : Human Relations Area Files"
810	1939	Vietnam	"Little China; the Annamese lands,"	1942	"Brodrick, Alan Houghton"	"London, New York [etc.] Oxford University Press"
811	1961	Nevada	Washo economy	1962	"Price, John Andrew"	"Carson City, Nevada: Nevada State Museum"
812	1952-1961	California and Nevada	The Washoe Indians of California and Nevada	1963	"D'Azevedo, Warren L."	"Salt Lake City, University of Utah Press"
813	1938-?	Tibet	?	1938	"Peter, ?"	?
814	1934	Papua New Guinea	"Marriage in Wogeo, New Guinea"	1945	"Hogbin, H. Ian"	?
815	ca.1880-1899	Nigeria	The History of the Yorubas	1921	"Johnson, S."	?
816	1931-1939	"Yucatan, Mexico"	Maya Indians of Yucatan	1941	"Steggerda, Morris"	"Washington, D.C., Carnegie Institution of Washington"
817	na	"Mexico, Honduras"	The Maya Indians of southern Yucatan and northern British Honduras	1918	"Gann, Thomas William Francis"	Washington : G.P.O.
818	na	Yugoslavia	Personality and culture in Eastern European politics	1948	"Tomasic, Dinko"	"New York, G.W. Stewart"
